"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1854160669211586764","Wed Nov 06 23:49:38 +0000 2024","0","@Yewon31245 @BudiBukanIntel FUFUFAFA MENDUNIA","1854310204260942321","","Yewon31245","in","sjtown","0","0","0","https://x.com/afterhyuk/status/1854310204260942321","1439799929552052228","afterhyuk"
"1854086499743973465","Wed Nov 06 23:48:48 +0000 2024","0","@kleponmaniz Salfok sama tulisannya","1854309994797408739","","kleponmaniz","in","","0","0","0","https://x.com/ehbimo/status/1854309994797408739","1342397618207424513","ehbimo"
"1854075924502970645","Wed Nov 06 23:48:28 +0000 2024","0","@HumorJonTampan Raiso ngomong..kalau mau lancar omong cuma di sosmed fufufafa..omong jorok doang","1854309909392994512","","HumorJonTampan","in","","0","0","0","https://x.com/YusufIrian3999/status/1854309909392994512","1758759327190695936","YusufIrian3999"
"1854120311832338449","Wed Nov 06 23:48:20 +0000 2024","1","@Duren___ Tong kosong mah boro2 ngebacot linggis. Dpn mic aja mendem soranya","1854309876035719240","","Duren___","in","Tambun, Indonesia","0","0","0","https://x.com/GanRusdi/status/1854309876035719240","817391445283782658","GanRusdi"
"1853770445159575683","Wed Nov 06 23:47:57 +0000 2024","0","@DokterTifa @prabowo Arah sebenarnya dokter ini berakhir mendukung fufufafa coba aja kasih jabatan di pemerintahan","1854309778761363838","","DokterTifa","in","","0","0","0","https://x.com/KTheology46243/status/1854309778761363838","1791536821022990336","KTheology46243"
"1854146210778771827","Wed Nov 06 23:47:25 +0000 2024","1","@DarsAlexandra1 Gus F4 Fufufafa","1854309647282532561","","DarsAlexandra1","in","Indonesia","0","0","0","https://x.com/Afgan772/status/1854309647282532561","1146293807786397697","Afgan772"
"1853805268989313029","Wed Nov 06 23:46:18 +0000 2024","2","@Tan_Mar3M Hrs ditangkap dan dihukum mati org org pendukung jokower dan fufufafa ga beres ga becus ini bikin bangkrut nkri asu anjing lu","1854309362627662326","","Tan_Mar3M","in","","0","0","1","https://x.com/salehali2019/status/1854309362627662326","1167048413109555201","salehali2019"
"1854138125762896103","Wed Nov 06 23:46:04 +0000 2024","0","@FayaAtika Jauh jauh bawa tong kosong..... Mubajir kan","1854309307292217592","","FayaAtika","in","Tambun, Indonesia","0","0","0","https://x.com/GanRusdi/status/1854309307292217592","817391445283782658","GanRusdi"
"1854309221657108562","Wed Nov 06 23:45:44 +0000 2024","19"," itulah wapres kita (#fufufafa) #Nalar https://t.co/uqXEP2XItK","1854309221657108562","https://pbs.twimg.com/media/GbvUZxjaIAA_tNv.jpg","","in","South East Asia","0","4","13","https://x.com/ZAEffendy/status/1854309221657108562","129750289","ZAEffendy"
"1854309146973315563","Wed Nov 06 23:45:26 +0000 2024","40"," Sedikit Bicara Banyak Nyusu - Fufufafa","1854309146973315563","","","in","Indonesia","0","4","8","https://x.com/NephilaXmus/status/1854309146973315563","62764588","NephilaXmus"
"1854090444906631354","Wed Nov 06 23:45:23 +0000 2024","0","@noirbojack Tong kosong anti wartawan","1854309134893756720","","noirbojack","in","Tambun, Indonesia","0","0","0","https://x.com/GanRusdi/status/1854309134893756720","817391445283782658","GanRusdi"
"1854003256927899920","Wed Nov 06 23:44:58 +0000 2024","0","@AnKiiim_ Pembahasannya jg beda bro yg satu cuma mengapresiasi yg satu mengenai data progres dan pembangunan","1854309028228395450","","AnKiiim_","in","","0","0","0","https://x.com/ehbimo/status/1854309028228395450","1342397618207424513","ehbimo"
"1853682146281754917","Wed Nov 06 23:44:02 +0000 2024","0","@leo040878 @kangmirdja @CakKhum Gi ngincer jadi komisaris apa bang???... smp mau²nya jd kambing hitam si fufufafa.","1854308792487542830","","leo040878","in","Wakanda Land","0","0","0","https://x.com/TholeRagil2/status/1854308792487542830","1605843420895121409","TholeRagil2"
"1854146210778771827","Wed Nov 06 23:43:53 +0000 2024","1","@DarsAlexandra1 Gus tong kosong","1854308757582590136","","DarsAlexandra1","in","Tambun, Indonesia","0","1","0","https://x.com/GanRusdi/status/1854308757582590136","817391445283782658","GanRusdi"
"1854058402315698228","Wed Nov 06 23:43:53 +0000 2024","3","@kafkaphilia @aetherdepokk Ga sekelas fufufafa tapi kelakuannya mirip. Vance used to hate Trump lmao","1854308757188260122","","kafkaphilia","in","","0","0","0","https://x.com/hotandspiceeey/status/1854308757188260122","142977066","hotandspiceeey"
"1854146210778771827","Wed Nov 06 23:43:49 +0000 2024","1","@DarsAlexandra1 Coba suruh baca alfatihah dulu si fufufafa sama bloonya ga sama mulyono.","1854308741405130755","","DarsAlexandra1","in","luxor","0","0","0","https://x.com/rajatapura/status/1854308741405130755","819027163277971456","rajatapura"
"1854181265035116694","Wed Nov 06 23:43:01 +0000 2024","0","@utdfocusid Aff kayaknya masih butuh ridho","1854308537754947905","","utdfocusid","in","","0","0","0","https://x.com/ehbimo/status/1854308537754947905","1342397618207424513","ehbimo"
