full_text,score
fufufafa dunia,1
salfok sama tulis,1
raiso ngomongkalau mau lancar omong cuma sosmed fufufafaomong jorok doang,0
tong kosong mah boro2 ngebacot linggis dpn mic aja mendem soranya,0
arah benar dokter akhir dukung fufufafa coba aja kasih jabat perintah,1
gus f4 fufufafa,1
hrs tangkap hukum mati org org dukung jokower fufufafa beres becus bikin bangkrut nkri asu anjing lu,0
jauh jauh bawa tong kosong mubajir kan,0
wapres,1
sedikit bicara banyak nyusu fufufafa,0
tong kosong anti wartawan,0
bahas jg beda bro satu cuma apresiasi satu kena data progres bangun,0
gi ngincer jadi komisaris apa bang smp mau jadi kambing hitam si fufufafa,0
gus tong kosong,0
ga kelas fufufafa laku mirip vance used to hate trump lmao,1
coba suruh baca alfatihah dulu si fufufafa sama bloonya sama mulyono,0
aff kayak butuh ridho,1
tong kosong mendem bunyi tuh kan percuma jadi mubajir,0
kaya banyak liat kata kata mutiara fufufafa naik gunung lalu tancap otak jagung rebus,1
makin yakin bapak fufufafa pki guna ilmu sihir kuat utk sirep ratus juta manusia,0
harus dibeliin biar bakar rumah,1
cuma mantan lagi aku udah chattingan sama,1
hahahaha fufufafa otak nihil,0
temu lawrence wong sultan minta singapura bicara israel henti perang gaza netanyahu,1
terimakasih lbh sedih kamu selalu peduli anies dukung sbg lampias kecewa akibat gagal proyek slamet utk selamat dr isue fufufafa penting kan bukti bhw kamu bikin tuit serang honor cair hina sekali hidup,0
allah pikir sederhana aja bisa maksud gerindra tanggap 11100 kata anies masih dipikirin fufufafa biar fufufafa pernah tolong juang di bela habishabisan jadi gubernur,0
yg cosplay fufufafa kek nya jiwa banget dech,1
ikn fufufafa bejat moral keluarga nebeng tambang moga balas,0
puja bilang fufufafa bukan ban serep kelas idiot,0
satu anak vaksin biar anak fufufafa cucu joko yang buat eksperiment,0
kalo bukan dua arti wapres fufufafa dong hahajaja,1
paling sering telp fufufafa tanya tugas apa bagi2 susunyasih sambut berani dateng kampus2,0
anjing fufufafa mulai menggongong,0
punya ahli khusus tidak semua orang mungkin susuemang laen fufufafa kata susu,0
bangga bodoh si fufufafa pemuda aswaja,0
10 tanding akhir inter amp napoli weekend besok bakal ketemu seru sih,1
coba liat isi x nya bela fufufafa udah kek bela negara aja,0
tangkap yo njing fufufafa ramai terus angkat terus biar semua inget badjingan satu fufufafa narkoboy,0
koch mending gosah bangun sampe minggu depan kata gua mah,1
aksi 411 adil tangkap fufufafa nasionalisasi tambang via,1
masukin aja semua sel bang den ngeselin,0
mksdnya pak probowo masalah fufufafa karna tidak pernah tolong jadi gubernur tp buat sakit hati 11100 karna pak anies pernah dukung jadi gubernur,2
waktu pilpres 2024 dukung militan no 1 sekarang ngaku2x bain pak prabowobesok2x kalau kasih jabat fufufafa jadi buzzer bela modal pakai hijab amp gelar dokter lihat intelektual negeri,0
kok goblog sih org gila smpe org pinter jg tau si fufufafa lol,0
biar gampang dikibulin makanya orangorang kek fufufafa jadi pimpin,0
gibran samsul alias fufufafa botol kok pelihara tunjuk kan kelas bukan wapres urus negara kelas bagai tugas bagi susu tidk adil sosial susu gratis utk utk orang miskin preeetttt,0
mantap bukti pak waspada gera fufufafa,2
gapapawkdkwskw kalo kesandung kyaknya landing duluan muka gw bukan pantathw,1
kalo suruh ngomong takut belibet jago ngetik kaya akun fufufafa wkwk,0
tugas bersih sih iya,1
